"Id","PersonId","CompanyId","CompanyType","Title","Location","Position","PositionLevel","DateStart","DateEnd"
"5035e8d6-7c8a-4749-9585-04ad95ba27c4","4b88da65-e7ac-42aa-8604-ffb9b7091cd7","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"e2f810d8-0580-4235-b553-04b4cd8893c6","dbc057b4-59c5-4604-a6c3-d956fed5da77","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"ca2ef6bd-656a-4c36-9200-04c2b8b62350","14391c63-7712-45b7-abb9-0f784a98b09a","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","QC Investment Associate","","","","",""
"378d5714-ca85-4917-8da8-04ecd38558c5","caf87c45-bc8b-408d-8a51-8d3bad495f26","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"ea12bf53-91b6-40f7-87ea-04ed2da66b3d","14391c63-7712-45b7-abb9-0f784a98b09a","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","QC Investment Associate","","","","",""
"723c7a5a-9b43-4942-a762-04ff685009c5","7c100695-1bbf-49ed-b60d-aa955aed8887","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"cbe39301-4a0a-4246-abf0-0501bcd594c2","9d1dda4c-85d5-4a21-ac09-3e910841ab49","f55ad1ce-2d8d-4838-812d-48e3db004fef","Startup","Team Lead - Customer Success","","","","1/31/2012 9:00:00 PM","4/30/2014 9:00:00 PM"
"b04e1184-a8d3-4ddf-b1f7-051f0b8841af","f936b431-163a-4595-8ba2-19256514a327","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"5e42af59-f1f9-45d8-9a9f-0589d12f7632","8cf3b994-a116-42be-8afb-b93c3fc4c916","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"5124d809-85ae-4e09-b8d6-0589ff398ed5","deeedcf1-0a8e-4012-958d-0b79a2a5ba5f","43f5e606-a930-4143-b44a-0974509f6677","Fund","Partner, Human Capital","","","","",""
"6b5c0991-d075-4bc9-a4c9-05ad6c866df3","a732ba3b-2804-4308-b712-f26eacbc32b5","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","ON Investment Associate","","","","",""
"636b9b28-c6e9-47a5-a9d4-05c8bed0fc7b","bb6972e9-052e-457b-a87d-ead7c7b034f1","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"71c0fe27-5567-4704-a7ca-05ebc2b4a8cc","f936b431-163a-4595-8ba2-19256514a327","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"b6deefe7-dc1e-48ad-9f1b-05ec7e5670ca","f4d923d5-6a22-471c-854c-05a9d1f35e6a","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Directeur de la Croissance","","","","",""
"b1270852-3817-490f-bcb9-060044a5da5d","df196464-3d6f-40f7-9547-a7d5c1bf1145","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","QC Investment Associate","","","","",""
"dea944dd-c77f-47e4-b6e2-06739dcb8317","b794bd8e-946d-451b-b842-2b8441ad42eb","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"c53015db-80f8-4d33-b49e-06ad9bd07f0e","5b717828-7bb1-4ccc-bf9b-a883a33bfbd5","cf4376a6-66a0-4dc8-9820-4abbca71f274","Startup","Sr. Director IT Business Management Products","","Director","Director","12/31/2012 9:00:00 PM","12/31/2013 9:00:00 PM"
"60771c8c-cc9a-4524-b38a-06b6613134bf","cea31bfd-12c5-46f4-91fe-47abae2e62db","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Platform Associate","","","","",""
"b70a2511-098e-42da-8321-06f93d6c4e94","e2162cdd-b900-46d4-89c0-61a7fd1b31d6","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"d834b82d-53b5-4122-a9d0-071fdccfadc9","fff2e1e0-39db-46b4-81e7-3958df8268f1","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Investment Associate","","","","",""
"0c26b15b-ce7b-49e8-a550-072b2b1f275c","dc814a25-8845-4947-995b-887cdd322ec6","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","QC Investment Associate","","","","",""
"0b99416b-07c4-4af3-bae9-0755d97900ec","77f80f7d-0eb6-42d0-b1de-a2957cdcca79","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"cd7f2257-4635-4f08-b696-077270108968","485f2899-5a7e-4411-a1da-9234655880ae","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","QC Investment Associate","","","","",""
"635b750b-93af-468d-b5e9-07b0b4dee5b3","a6a5d043-b9bb-40b3-aac6-0da0c1c9bc41","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Investment Associate","","","","",""
"a11bfb1e-0be4-4bca-be79-07bba7f9eee2","4fb755c5-e85a-4cee-8cef-e1806f4a3b78","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"6d0fea4c-28d5-4968-abc9-07fef48f475c","5b717828-7bb1-4ccc-bf9b-a883a33bfbd5","cf4376a6-66a0-4dc8-9820-4abbca71f274","Startup","Director, Cloud On-Boarding","","Director","Director","3/31/2010 9:00:00 PM","12/31/2012 9:00:00 PM"
"875581ef-bd42-4aed-bf03-0810264016f0","951f46d0-a774-467e-9f55-76502177ab74","43f5e606-a930-4143-b44a-0974509f6677","Fund","Operating Partner","","","","",""
"bffe6ad3-b1a1-41f7-b9cb-08370bbd6aba","71fee9a9-8755-446d-ab7d-bc4bf5e7b3a3","30ec0eed-5570-477f-bf24-3ccd53f7b1ff","Startup","Co-Founder","","Founder","","",""
"774d54ac-042e-4b93-b14a-08478f301cfd","6ef986f4-517f-4963-9879-46f84890d486","43f5e606-a930-4143-b44a-0974509f6677","Fund","Vice President","","VicePresident","Vice","",""
"6202efdb-ce9d-485a-b157-08494646bbf7","7c9b441b-a5ad-4b0e-a0e5-f6c63fc0916b","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"6b82662b-bb26-4100-b2a1-08bbd71ad0ef","d70bded9-cd12-49d6-b96f-9df94bf6618f","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","ON Investment Associate","","","","",""
"09c8e6fc-3d37-4c46-8020-08f31dbf15dd","cd65f564-86ce-4c48-92fa-ad9ffc07ef13","9eca382b-8ac4-4505-8ee1-636bb04c5957","Startup","Director of Development","","Director","Director","12/31/1996 10:00:00 PM","12/31/2001 10:00:00 PM"
"41aa96c0-55dc-467a-ad01-0928f64556f1","30c3af8c-37f9-4d47-9ec6-22ac4f4a1950","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"36095271-9027-46f7-81c9-0937e63c0e1a","a732ba3b-2804-4308-b712-f26eacbc32b5","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","ON Investment Associate","","","","",""
"85024290-7b91-41c9-ad0b-095af13ab088","0f16a132-2abd-46e0-909f-38ca80c02c34","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé Communautaire","","","","",""
"778bb9e5-6422-419a-a7a8-095db9881d7d","63996eda-768f-4014-9d50-ee4ddd0cafbd","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","ON Investment Associé","","","","",""
"447e1026-9cf8-4923-8496-096de9f513fc","e2ece87f-3acf-4935-bb33-babacf784de9","abc937ea-05ca-4d66-bc33-fa946ead51be","Startup","Business Process Lead/Consultant","","","","1/1/2007 12:00:00 AM","1/1/2008 12:00:00 AM"
"f271a500-e428-43ea-83c1-0980e133daea","eee4f744-165f-47d8-9837-7cb26fa73778","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","QC Investment Associate","","","","",""
"29a3ec46-64ef-4f8e-ac4a-098dd86a098a","352b6f10-71ee-4abc-823a-0b346d88b007","43f5e606-a930-4143-b44a-0974509f6677","Fund","Partner","","","","",""
"e9d1c0db-fa2d-4cb0-8359-09a72c474ddc","aae4122f-1728-4270-9923-faacf6263217","43f5e606-a930-4143-b44a-0974509f6677","Fund","Operating Partner","","","","",""
"23e98112-61ac-4f04-85b1-09c89fa63ba7","50badfde-0525-4be6-a191-ca5705561c91","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Cofondatrice @ Front Row Ventures","","","","",""
"7feedf4d-9fac-47dc-9e86-0a2a5f982d12","b8f72388-9e5f-4576-983a-8a1183b2bb53","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"f4a679c9-b4d1-4b33-a52e-0a541b395922","7d269cf4-907f-4db6-9d39-083b96326780","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"89ae78ef-bfb0-49ac-9711-0a66dff8c799","e03d3ad7-5e24-4db6-96b3-31d14b8faa6f","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","QC Investment Associate","","","","",""
"97d68183-8fa0-4ab4-a4ad-0a7df8d5efc3","44c91042-a009-45b8-82a0-83d194c729b0","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"2e64226b-a783-4d5d-aa5d-0ad8ee3c68c7","6037ff5f-7e8b-4f1f-8400-b6922220911d","1d289a56-272f-4a45-ac3b-7a837ab87b9e","Startup","Director of Health Plan Business Development","San Francisco Bay Area","Director","Director","6/30/2012 9:00:00 PM","5/31/2015 9:00:00 PM"
"54955e89-cd69-45c8-afa6-0b5dfcf82927","b794bd8e-946d-451b-b842-2b8441ad42eb","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"281af50e-830b-472d-abcc-0b679c6f16e0","28ff380d-7613-4c77-9460-354fc40b1c2a","fa22f434-96de-47fa-95d2-2f3451728918","Startup","Senior Developer","Austin, Texas","","","9/30/2013 9:00:00 PM","9/30/2016 9:00:00 PM"
"8cbc4ae9-60bc-484d-bf76-0b7dd30112f3","7b933bec-caa8-4971-b11e-25e754332ce5","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"50071944-9c2e-4302-8829-0b993e80435e","9d1dda4c-85d5-4a21-ac09-3e910841ab49","f55ad1ce-2d8d-4838-812d-48e3db004fef","Startup","Product Marketing","","","","4/30/2014 9:00:00 PM","3/31/2015 9:00:00 PM"
"c4627a4b-7c6a-4013-96f4-0baf12104987","3191090c-753d-425d-a8e4-12dfdae40431","43f5e606-a930-4143-b44a-0974509f6677","Fund","Operating Partner","","","","",""
"546c3f8d-012f-4f51-9472-0bbd45defbc6","b794bd8e-946d-451b-b842-2b8441ad42eb","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"9d39ec21-3f08-4422-b7a8-0bc6faed508e","8b18476b-9572-41cc-9bb3-e44c45ffb39b","965d70d2-a6df-4a58-bc24-c497c2d99fa5","Startup","Senior Design Engineer","Greater Los Angeles Area","","","3/1/2016 12:00:00 AM","4/1/2017 12:00:00 AM"
"92aed229-c6e8-49b1-b1d0-0bdc9efb6d05","fc36dc1f-bbad-4896-8a6b-d7de4586d4c5","43f5e606-a930-4143-b44a-0974509f6677","Fund","Principal, Leadership & Assessment","","","","",""
"a45483ad-17b7-400e-8c06-0bfac1eebf5e","9a9b4106-ed0a-4760-883c-b6e5146e7342","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Content Associate","","","","",""
"0b090f18-0faf-427e-adae-0c0e4b7f8c66","2ba8e4fe-f873-497c-a4db-a9b3fb36c8f8","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","QC Investment Associate","","","","",""
"b1dd3ab7-ccc5-4fd7-b3ec-0c1ff9f66889","3191090c-753d-425d-a8e4-12dfdae40431","43f5e606-a930-4143-b44a-0974509f6677","Fund","Operating Partner","","","","",""
"0146d18c-130a-450c-a52c-0c31342c87e1","7287760a-ad14-4be2-9e3e-720cbedf5d7d","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
"44098917-21ac-49b2-b59c-0c38d0d02e83","5ec943a8-f7aa-4e87-a31b-31a9815ca007","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","ON Investment Associate","","","","",""
"d186f71f-b7e9-4862-aa93-0c518939dfed","2a93bf35-777a-459b-9148-7843091f9237","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"495bb654-f9a1-4f23-8129-0c64efefa909","7c9b441b-a5ad-4b0e-a0e5-f6c63fc0916b","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"cc2c0cd9-f3f6-41c7-9c93-0cc57a9f5b33","cea31bfd-12c5-46f4-91fe-47abae2e62db","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Platform Associate","","","","",""
"296c12d4-638a-4074-a20b-0ce6b3dc3c25","ef8534ab-4574-4bb3-8eb1-9f52535bd58e","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Director of Legal Affairs","","Director","Director","",""
"3b2eddb3-26b5-4f44-ad40-0cf2068c4608","486d8cd2-3e8b-46e5-b3f4-f804953ad5c9","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Director of People & Culture team","","Director","Director","",""
"42f20a8a-3424-434d-943a-0d2939a37e98","13cfee96-8586-46d2-83cb-c3e0bdb56548","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"93ab1284-63e9-4aea-a383-0d2d80f6c009","fc36dc1f-bbad-4896-8a6b-d7de4586d4c5","43f5e606-a930-4143-b44a-0974509f6677","Fund","Principal, Leadership & Assessment","","","","",""
"7b33b564-4687-4bfa-85f8-0d2dfea3076e","592bf50a-ef9e-447e-a7c4-7f1dbbecedca","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Marketing Associate","","","","",""
"90a911dd-6c78-4118-a22a-0d307f0e1f2c","7c100695-1bbf-49ed-b60d-aa955aed8887","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"d7d3d9da-a492-4cf3-a3de-0d51e7e1fa2a","75601bb5-de01-4cfd-9694-a760c09ad7b2","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Founders Support Associate","","","","",""
"61ebf6cb-a885-48c7-82eb-0d56bd452149","bf14a9fe-42d3-4b35-9091-08060a2be567","43f5e606-a930-4143-b44a-0974509f6677","Fund","Associate","","","","",""
"d1f1ee1b-4714-4efb-b7be-0d5aa31a040c","0c380523-b5bb-4def-85a2-983ce1c664ec","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","","","","","",""
"0be327e3-965b-4ae4-8fef-0d6deb3d8e2b","f120ebbf-3c29-4c10-8b65-bc562a5aad35","43f5e606-a930-4143-b44a-0974509f6677","Fund","Operating Partner","","","","",""
"5aa739d7-af7c-4f0c-8b33-0d96a461f873","7d269cf4-907f-4db6-9d39-083b96326780","c7c0c7d4-7116-4c64-b1ef-018471e84cf3","Fund","Associé en Investissement","","","","",""
