"FundId","NewsId","CreatedTimeStamp"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","8c6ef8e5-ec1a-4353-a003-5d2b44cad017","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","522fbfb1-b6a5-41fb-9eb7-361196b947ae","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","ceda1260-6882-4dc8-a912-926f7ca0513f","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","e565923c-7c46-4075-af85-00419e51e4ce","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","0563eae5-cb3a-49a5-a37b-7b59f755e8dc","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","3313f90e-0693-4150-9ea9-84f476c583cf","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","6d3a121a-f303-450a-b32d-0412b4de3d47","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","df481669-0f78-4e43-a7ac-a232e4f3a142","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","7f6e149d-a05b-4fa4-9e48-2cc98c715891","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","932ff62f-c5ef-49c2-b87e-2f09f73c3ee3","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","c4524ff5-29af-49de-afea-8d95c443d94d","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","acf99a72-37c3-40a9-a9b5-ca911e692d97","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","eb331593-b472-4bfa-a00b-bd9efeafb120","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","911035e8-a08a-488e-9a89-1c85b2c023a8","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","18a09f86-1e11-44ca-a8fd-93e571a42665","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","30fbd153-2541-49e1-bb2a-d6a07e8d866a","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","9761f9f6-971c-4073-9dda-abbc7f7c1927","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","088461bd-d6c9-432b-8f76-dbada96bac9d","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","d9409cfe-b58c-465c-a0fb-19035f0da5e5","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","a770cb89-5f70-4909-9564-2a1cc3793443","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","3391d1f7-b95d-43b4-811b-2f9d2b8229c1","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","8bcb9ca4-1d2e-44ff-b606-86cce08c7ef5","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","2444a4df-07d5-4982-95fe-97d6c54bec17","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","efd08b4e-b23a-44a2-b168-5bbfe6473222","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","758e76d4-4c56-4fcf-99cb-e2a511ab79e1","8/20/2021 1:58:29 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","09627d28-f314-472c-8863-b1c68f5d455b","8/20/2021 1:58:29 PM"
